antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"[1, 18]",[23],0.05,0.075,0.05,1.0,13.333333333333334,1.0,0.04625,inf,0.9736842105263158,0.6666666666666667,1.0,0.8333333333333334
[23],"[1, 18]",0.075,0.05,0.05,0.6666666666666667,13.333333333333334,1.0,0.04625,2.8500000000000005,0.9999999999999999,0.6666666666666667,0.6491228070175439,0.8333333333333334
[12],"[8, 14]",0.075,0.075,0.05,0.6666666666666667,8.888888888888891,1.0,0.044375000000000005,2.775000000000001,0.9594594594594594,0.5000000000000001,0.6396396396396398,0.6666666666666667
"[8, 14]",[12],0.075,0.075,0.05,0.6666666666666667,8.888888888888891,1.0,0.044375000000000005,2.775000000000001,0.9594594594594594,0.5000000000000001,0.6396396396396398,0.6666666666666667
"[18, 23]",[1],0.05,0.125,0.05,1.0,8.0,1.0,0.043750000000000004,inf,0.9210526315789475,0.4000000000000001,1.0,0.7
[15],[24],0.075,0.1,0.05,0.6666666666666667,6.666666666666667,1.0,0.0425,2.7000000000000006,0.9189189189189189,0.4000000000000001,0.6296296296296298,0.5833333333333334
[23],[1],0.075,0.125,0.05,0.6666666666666667,5.333333333333334,1.0,0.040625,2.6250000000000004,0.8783783783783783,0.3333333333333333,0.6190476190476192,0.5333333333333334
"[25, 4]",[11],0.075,0.125,0.05,0.6666666666666667,5.333333333333334,1.0,0.040625,2.6250000000000004,0.8783783783783783,0.3333333333333333,0.6190476190476192,0.5333333333333334
"[25, 11]",[4],0.075,0.125,0.05,0.6666666666666667,5.333333333333334,1.0,0.040625,2.6250000000000004,0.8783783783783783,0.3333333333333333,0.6190476190476192,0.5333333333333334
"[12, 14]",[8],0.05,0.225,0.05,1.0,4.444444444444445,1.0,0.03875,inf,0.8157894736842105,0.2222222222222222,1.0,0.6111111111111112
"[10, 18]",[14],0.05,0.25,0.05,1.0,4.0,1.0,0.037500000000000006,inf,0.7894736842105264,0.2,1.0,0.6
"[8, 12]",[14],0.05,0.25,0.05,1.0,4.0,1.0,0.037500000000000006,inf,0.7894736842105264,0.2,1.0,0.6
"[11, 4]",[25],0.05,0.25,0.05,1.0,4.0,1.0,0.037500000000000006,inf,0.7894736842105264,0.2,1.0,0.6
"[1, 23]",[18],0.05,0.275,0.05,1.0,3.6363636363636362,1.0,0.036250000000000004,inf,0.7631578947368421,0.18181818181818182,1.0,0.5909090909090909
"[10, 14]",[18],0.05,0.275,0.05,1.0,3.6363636363636362,1.0,0.036250000000000004,inf,0.7631578947368421,0.18181818181818182,1.0,0.5909090909090909
[10],[7],0.2,0.175,0.125,0.625,3.5714285714285716,1.0,0.09,2.1999999999999997,0.8999999999999999,0.5,0.5454545454545455,0.6696428571428572
[7],[10],0.175,0.2,0.125,0.7142857142857143,3.571428571428571,1.0,0.09,2.8000000000000003,0.8727272727272728,0.5,0.6428571428571428,0.6696428571428572
[24],[25],0.1,0.25,0.075,0.7499999999999999,2.9999999999999996,1.0,0.049999999999999996,2.9999999999999987,0.7407407407407406,0.27272727272727276,0.6666666666666665,0.5249999999999999
[12],[8],0.075,0.225,0.05,0.6666666666666667,2.9629629629629632,1.0,0.033125,2.3250000000000006,0.7162162162162161,0.2,0.5698924731182797,0.4444444444444445
[15],[14],0.075,0.25,0.05,0.6666666666666667,2.666666666666667,1.0,0.03125,2.2500000000000004,0.6756756756756755,0.18181818181818182,0.5555555555555557,0.43333333333333335
[12],[14],0.075,0.25,0.05,0.6666666666666667,2.666666666666667,1.0,0.03125,2.2500000000000004,0.6756756756756755,0.18181818181818182,0.5555555555555557,0.43333333333333335
[23],[18],0.075,0.275,0.05,0.6666666666666667,2.4242424242424243,1.0,0.029375000000000002,2.1750000000000003,0.6351351351351351,0.16666666666666666,0.5402298850574714,0.4242424242424243
"[8, 14]",[18],0.075,0.275,0.05,0.6666666666666667,2.4242424242424243,1.0,0.029375000000000002,2.1750000000000003,0.6351351351351351,0.16666666666666666,0.5402298850574714,0.4242424242424243
[4],[25],0.125,0.25,0.075,0.6,2.4,1.0,0.04375,1.875,0.6666666666666666,0.25,0.4666666666666666,0.44999999999999996
[11],[25],0.125,0.25,0.075,0.6,2.4,1.0,0.04375,1.875,0.6666666666666666,0.25,0.4666666666666666,0.44999999999999996
