ProductID,ProductName,Category,Price,Brand,Rating,Stock,WarrantyYears,SupplierCountry,WeightKg,VolumeCm3,PowerWatt,ConnectivityType,MaterialType,UsageType,PriceCategory,Cluster_NoPrice,Cluster_WithPrice
1,Wireless Mouse,0,15.99,8,4.4,158,3,4,5.26,11659,2,2,0,3,1,4,4
2,Keyboard,0,22.5,8,4.2,106,3,0,5.56,16437,0,0,0,3,2,1,1
5,Laptop Stand,0,25.0,0,4.3,274,1,3,0.47,3032,20,0,1,2,2,2,2
6,Webcam,1,45.0,8,4.1,257,1,3,5.45,3815,10,2,1,4,2,4,4
7,Headset,0,29.99,13,4.3,252,1,1,2.67,24907,5,0,0,0,2,1,1
8,External HDD,3,60.0,15,4.7,114,3,0,0.96,20116,5,0,1,3,2,3,3
9,Portable SSD,3,80.0,11,4.6,168,3,0,1.13,17074,2,2,1,0,0,3,3
10,Printer,1,120.0,5,4.9,40,3,0,5.16,17893,10,2,2,4,0,0,0
11,Gaming Mouse,0,35.0,10,4.9,156,2,4,2.86,16369,0,1,1,1,2,1,1
12,Mechanical Keyboard,0,70.0,4,4.2,58,2,1,3.44,15035,10,2,1,1,0,1,1
14,HDMI Cable,0,10.0,14,4.9,125,3,4,3.83,15020,20,0,1,2,1,4,4
15,Cooling Pad,0,20.0,3,4.6,274,1,2,5.58,9683,0,1,2,4,1,4,4
16,Conference Webcam,1,90.0,8,4.6,66,2,0,5.68,15257,20,2,2,3,0,0,0
17,Bluetooth Headset,0,55.0,13,4.2,190,3,3,3.56,7188,5,1,0,0,2,1,1
19,Flash Drive,3,12.0,12,4.3,76,3,2,1.3,6502,5,0,0,3,1,3,3
20,Inkjet Printer,1,110.0,2,4.6,297,3,2,5.75,24975,0,2,2,2,0,0,0
21,Gaming Headset,0,65.0,6,4.7,47,1,2,2.5,4697,20,1,2,2,0,2,2
22,Ergonomic Chair,2,180.0,7,4.9,163,3,0,4.14,3143,30,1,0,3,0,0,0
23,Desk Lamp,0,18.0,9,4.2,156,2,3,5.71,19716,5,1,0,0,1,1,1
24,Smartphone Stand,0,14.0,1,4.9,60,2,4,3.21,12984,10,2,0,3,1,4,4
